******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	Name	Level	Damage / M.S.T Lua Ref	Mana	Agility	Distance	TimeDelay	Req.Energy	Req.Level	Property	UseType	Brand	Req.Status[0]	Req.Status[1]	Req.Status[2]	Req.Status[3]	Req.Status[4]	Req.Status[5]	DW	BK	ELF	MG	DL	SUM	RF	GL	IconIndex	SkillType	v1	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28
	12	Aqua Beam	74	80	140	0	6	0	110	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	-1	200	-1	140
	13	Cometfall	80	70	150	0	6	0	150	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	-1	150	-1	130
	14	Inferno	88	100	200	0	0	0	200	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	3	-1	90	-1	110
	15	Teleport Ally	83	0	90	25	6	0	188	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	-1	-1	-1	-1	100
	16	Soul Barrier	77	0	70	22	6	0	126	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	-1	-1	-1	-1	100
	17	Energy Ball	2	3	1	0	6	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	-1	30	-1	200
	18	Defense	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	258	-1	-1	-1	-1	100
	19	Falling Slash	0	0	9	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	258	1	-1	30	-1	180
	20	Lunge	0	0	9	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	258	1	-1	30	-1	170
	21	Uppercut	0	0	8	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	258	1	-1	30	-1	190
	22	Cyclone	0	0	9	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	258	1	-1	30	-1	165
	23	Slash	0	0	10	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	258	1	-1	30	-1	185
	24	Triple Shot	0	0	5	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	256	2	-1	100	-1	160
	25		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	26	Heal	8	0	20	0	6	0	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	26	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	-1	-1	-1	-1	100
	27	Greater Defense	13	0	30	0	6	0	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	4	0	0	0	0	-1	-1	-1	-1	100
	28	Greater Damage	18	0	40	0	6	0	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	28	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	4	0	0	0	0	-1	-1	-1	-1	100
	29		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	30	Summon Goblin	0	0	40	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	30	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	-1	-1	-1	-1	100
	31	Summon Stone Golem	0	0	70	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	31	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	-1	-1	-1	-1	100
	32	Summon Assassin	0	0	110	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	-1	-1	-1	-1	100
	33	Summon Elite Yeti	0	0	160	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	-1	-1	-1	-1	100
	34	Summon Dark Knight	0	0	200	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	-1	-1	-1	-1	100
	35	Summon Bali	0	0	250	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	35	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	-1	-1	-1	-1	100
	36	Summon Soldier	0	0	350	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	36	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	-1	-1	-1	-1	100
	37		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	38	Decay	96	95	110	7	6	0	243	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	-1	100	-1	110
	39	Ice Storm	93	80	100	5	6	0	223	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	-1	90	-1	115
	40	Nova	100	0	180	45	6	0	258	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	0	-1	-1	-1	-1	160
	41	Twisting Slash	0	0	10	10	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	512	1	-1	40	-1	150
	42	Rageful Blow	170	60	25	20	3	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	512	1	-1	150	-1	125
	43	Death Stab	160	70	15	12	2	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	512	1	-1	150	-1	105
	44	Crescent Moon Slash	0	90	22	15	4	0	0	0	0	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	-1	-1	-1	-1	100
	45	Lance	0	90	150	10	6	0	0	0	0	0	75	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100
	46	Starfall	0	120	20	15	8	0	0	0	0	0	75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1280	-1	-1	-1	-1	100
	47	Impale	28	15	8	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1025	1	-1	35	-1	170
	48	Swell Life	120	0	22	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	1	0	1	0	-1	-1	-1	-1	100
	49	Fire Breath	110	30	9	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	-1	-1	150
	50	Flame of Evil (Monster)	60	120	160	0	0	0	100	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100
	51	Ice Arrow	0	105	10	12	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	134	2	0	0	0	1	0	0	0	0	0	0	1280	2	-1	150	-1	115
	52	Penetration	130	70	7	9	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1280	2	-1	200	-1	130
	53		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	54		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	55	Fire Slash	0	80	15	20	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	55	0	0	0	0	84	2	0	0	0	0	0	0	0	1	0	0	1	0	2	0	512	1	-1	150	-1	105
	56	Power Slash	0	0	15	0	5	0	100	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	258	1	-1	100	-1	125
	57	Spiral Slash	0	75	20	15	5	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	-1	-1	-1	-1	100
	58		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	59		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	60	Force	0	10	10	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	-1	40	-1	160
	61	Fire Burst	74	100	25	0	6	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	-1	100	-1	135
	62	Earthshake	0	150	0	50	10	10000	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	-1	-1	-1	-1	100
	63	Summon	98	0	70	30	0	30000	34	400	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	-1	-1	-1	-1	100
	64	Increase Critical Damage	82	0	50	50	0	0	25	300	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	64	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	0	1	0	-1	-1	-1	-1	100
	65	Electric Spike	92	250	0	100	10	5000	29	340	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	-1	100	-1	100
	66	Force Wave	0	50	10	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	-1	40	-1	160
	67	Stun	0	0	70	50	2	0	0	0	0	1	0	0	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	67	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1	-1	100
	68	Cancel Stun	0	0	25	30	0	0	0	0	0	1	0	0	0	2	0	0	1	1	1	1	1	1	1	0	0	0	0	68	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	-1	-1	-1	-1	100
	69	Swell Mana	0	0	35	30	0	0	0	0	0	1	0	0	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	69	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	1	0	1	0	-1	-1	-1	-1	100
	70	Invisibility	0	0	80	60	0	0	0	0	0	1	0	0	0	5	1	1	0	1	1	1	1	1	1	0	0	0	0	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	-1	-1	-1	-1	100
	71	Cancel Invisibility	0	0	40	30	0	0	0	0	0	1	0	0	0	2	1	1	0	1	1	1	1	1	1	0	0	0	0	71	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	-1	-1	-1	-1	100
	72	Abolish Magic	0	0	90	70	0	0	0	0	0	1	0	0	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	72	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	-1	-1	-1	-1	100
	73	Mana Rays	0	85	130	7	6	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536	-1	-1	-1	-1	100
	74	Fire Blast	0	150	30	10	6	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100
	75		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	76	Plasma Storm	110	60	50	20	6	1500	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	2	1	1	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100
	77	Infinity Arrow	220	0	50	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	77	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	1	0	1	0	-1	-1	-1	-1	100
	78	Fire Scream	102	130	45	10	6	0	32	70	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	-1	150	-1	115
	79	Explosion	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	100
	80		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	81		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	82		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	83		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	84		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	85		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	86		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	87		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	88		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	89		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	90		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	91		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	92		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	93		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	94		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	95		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	96		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	97		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	98		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	99		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	100		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	101		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	102		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	103		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	104		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	105		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	106		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	107		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	108		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	109		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	110		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	111		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	112		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	113		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
